title,price_with_discount,price_without_discount,article,manufacturer,availability,url
Унитаз-компакт Sole QUADRO (2 короба) с крышкой Soft-close БЕЗОБОДКОВЫЙ С ФУНКЦИЕЙ БИДЭ,,19 678,УТ000041115,Sole,в наличии,https://magbo.ru//catalog/detail/unitaz-kompakt-mirsant-quadro-2-koroba-s-kryshkoy-soft-close-bezobodkovyy-s-funktsiey-bide/
Биде Sole TORR напольное,,16 255,УТ000041073,Sole,в наличии,https://magbo.ru//catalog/detail/bide-sole-torr-napolnoe/
Биде Sole PANDORA 2 подвесное,,14 604,УТ000041084,Sole,в наличии,https://magbo.ru//catalog/detail/bide-sole-pandora-2-podvesnoe/
Биде Sole CUBE подвесное,,14 604,УТ000041083,Sole,в наличии,https://magbo.ru//catalog/detail/bide-sole-cube-podvesnoe/
Биде Sole CUBE напольное,,17 210,УТ000041074,Sole,в наличии,https://magbo.ru//catalog/detail/bide-sole-cube-napolnoe/
"Душевая система Kerama Marazzi NOTA на 2 потока с механическим смесителем с ручным душем на 5 режимов, хром, 8236KM.21.018",,55 200,8236KM.21.018,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/dushevaya-sistema-kerama-marazzi-nota-na-2-potoka-s-mekhanicheskim-smesitelem-s-ruchnym-dushem-na-5-/
"Смеситель встроенного монтажа Kerama Marazzi NOTA с гигиеническим душем, хром, 27405KM.21.018",,22 400,27405KM.21.018,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/smesitel-vstroennogo-montazha-kerama-marazzi-nota-s-gigienicheskim-dushem-khrom/
"Смеситель для душа Kerama Marazzi NOTA без лейки, хром, 33090KM.21.018",,10 360,33090KM.21.018,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/smesitel-dlya-dusha-kerama-marazzi-nota-bez-leyki-khrom/
"Смеситель для ванны Kerama Marazzi NOTA с дивертором ванна/душ, без лейки, хром, 33080KM.21.018",,14 200,33080KM.21.018,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/smesitel-dlya-vanny-kerama-marazzi-nota-s-divertorom-vanna-dush-bez-leyki-khrom/
"Смеситель для раковины Kerama Marazzi NOTA с донным клапаном, 3/8, хром, 33010KM.21.018",,10 000,33010KM.21.018,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/smesitel-dlya-rakoviny-kerama-marazzi-nota-s-donnym-klapanom-3-8-khrom/
"Смеситель для биде Kerama Marazzi ETERNA с донным клапаном 3/8”, брашированная медь, pvd, 69623XKM.59.067",,74 200,69623XKM.59.067,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/smesitel-dlya-bide-kerama-marazzi-eterna-s-donnym-klapanom-3-8-brashirovannaya-med-pvd/
"Смеситель для биде Kerama Marazzi ETERNA c донным клапаном 3/8”, нержавеющая сталь, 69623XKM.50.050",,50 400,69623XKM.50.050,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/smesitel-dlya-bide-kerama-marazzi-eterna-c-donnym-klapanom-3-8-nerzhaveyushchaya-stal/
"Универсальная внутренняя часть Kerama Marazzi для термостатического кнопочного смесителя на два потока для душа, 27751KM.00.000",,69 300,27751KM.00.000,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/universalnaya-vnutrennyaya-chast-kerama-marazzi-dlya-termostaticheskogo-knopochnogo-smesitelya-na-dv/
"Смеситель для раковины Kerama Marazzi ETERNA без донного клапана, брашированная медь, pvd, 69628EXKM.59.067",,50 000,69628EXKM.59.067,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/smesitel-dlya-rakoviny-kerama-marazzi-eterna-bez-donnogo-klapana-brashirovannaya-med-pvd/
"Смеситель для раковины Kerama Marazzi ETERNA без донного клапана, нержавеющая сталь, 69628EXKM.50.050",,37 200,69628EXKM.50.050,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/smesitel-dlya-rakoviny-kerama-marazzi-eterna-bez-donnogo-klapana-nerzhaveyushchaya-stal/
"Смеситель для раковины Kerama Marazzi ETERNA высокий, без дон\клапана 3/8”, брашированная медь, pvd, 69615XKM.59.067",,84 400,69615XKM.59.067,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/smesitel-dlya-rakoviny-kerama-marazzi-eterna-vysokiy-bez-don-klapana-3-8-brashirovannaya-med-pvd/
"Смеситель для раковины Kerama Marazzi ETERNA высокий, без донного клапана 3/8”, нержавеющая сталь, 69615XKM.50.050",,45 200,69615XKM.50.050,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/smesitel-dlya-rakoviny-kerama-marazzi-eterna-vysokiy-bez-donnogo-klapana-3-8-nerzhaveyushchaya-stal/
"Смеситель для раковины Kerama Marazzi ETERNA без донного клапана 3/8”, брашированная медь, pvd, 69612XKM.59.067",,59 400,69612XKM.59.067,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/smesitel-dlya-rakoviny-kerama-marazzi-eterna-bez-donnogo-klapana-3-8-brashirovannaya-med-pvd/
"Смеситель для раковины Kerama Marazzi ETERNA без донного клапана 3/8”, нержавеющая сталь, 69612XKM.50.050",,38 600,69612XKM.50.050,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/smesitel-dlya-rakoviny-kerama-marazzi-eterna-bez-donnogo-klapana-3-8-nerzhaveyushchaya-stal/
"Раковина Kerama Marazzi GRANDE мебельная\подвесная 120 c двумя отверстиями под смесители с крепежом, белая глянцевая, GR.wb.120.2",,44 010,GR.wb.120.2,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/rakovina-kerama-marazzi-grande-mebelnaya-podvesnaya-120-c-dvumya-otverstiyami-pod-smesiteli-s-krepezh/
"Столешница Kerama Marazzi Риальто 100х48, бежевое лапатированное, CN100.SG560422R",,15 184,CN100.SG560422R,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/stoleshnitsa-kerama-marazzi-rialto-100kh48-bezhevoe-lapatirovannoe/
"Столешница Kerama Marazzi Риальто 80х48, бежевое лапатированное, CN80.SG560422R",,14 679,CN80.SG560422R,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/stoleshnitsa-kerama-marazzi-rialto-80kh48-bezhevoe-lapatirovannoe/
"Столешница Kerama Marazzi Риальто 70x48, бежевое лапатированное, CN70.SG560422R",,14 355,CN70.SG560422R,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/stoleshnitsa-kerama-marazzi-rialto-70x48-bezhevoe-lapatirovannoe/
"Столешница Kerama Marazzi Риальто 60х48, бежевое лапатированное, CN60.SG560422R",,14 007,CN60.SG560422R,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/stoleshnitsa-kerama-marazzi-rialto-60kh48-bezhevoe-lapatirovannoe/
"Столешница Kerama Marazzi Риальто 100х48, бежевое, CN100.SG560420R",,15 240,CN100.SG560420R,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/stoleshnitsa-kerama-marazzi-rialto-100kh48-bezhevoe/
"Столешница Kerama Marazzi Риальто 80х48, бежевое, CN80.SG560420R",,14 730,CN80.SG560420R,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/stoleshnitsa-kerama-marazzi-rialto-80kh48-bezhevoe/
"Столешница Kerama Marazzi Риальто 70x48, бежевое, CN70.SG560420R",,14 320,CN70.SG560420R,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/stoleshnitsa-kerama-marazzi-rialto-70x48-bezhevoe/
"Столешница Kerama Marazzi Риальто 60х48, бежевое, CN60.SG560420R",,14 060,CN60.SG560420R,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/stoleshnitsa-kerama-marazzi-rialto-60kh48-bezhevoe/
"Столешница из керамогранита Kerama Marazzi Фондамента 120 для накладных раковин, серое, PL5.DL500920R\120",,9 900,PL5.DL500920R\120,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/stoleshnitsa-iz-keramogranita-kerama-marazzi-fondamenta-120-dlya-nakladnykh-rakovin-seroe/
"Столешница из керамогранита Kerama Marazzi LOGICA Фондамента 120, серое, PL4.DL500920R\120",,9 900,PL4.DL500920R\120,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/stoleshnitsa-iz-keramogranita-kerama-marazzi-logica-fondamenta-120-seroe-2013683535/
"Столешница из керамогранита Kerama Marazzi Фондамента 120 см для раковин, встраиваемых сверху, серый, PL2.DL500920R\120",,9 900,PL2.DL500920R\120,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/stoleshnitsa-iz-keramogranita-kerama-marazzi-fondamenta-120-sm-dlya-rakovin-vstraivaemykh-sverkhu-se/
"Столешница из керамогранита Kerama Marazzi LOGICA Фондамента 120, серое, PL1.DL500920R\120",,9 900,PL1.DL500920R\120,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/stoleshnitsa-iz-keramogranita-kerama-marazzi-logica-fondamenta-120-seroe/
"Столешница из керамогранита Kerama Marazzi Фондамента 80 для накладных раковин, серое, PL5.DL500920R\100",,9 330,PL5.DL500920R\100,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/stoleshnitsa-iz-keramogranita-kerama-marazzi-fondamenta-80-dlya-nakladnykh-rakovin-seroe-602392177/
"Столешница из керамогранита Kerama Marazzi LOGICA Фондамента 100, серое, PL4.DL500920R\100",,9 330,PL4.DL500920R\100,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/stoleshnitsa-iz-keramogranita-kerama-marazzi-logica-fondamenta-100-seroe-1304360622/
"Столешница из керамогранита Kerama Marazzi LOGICA Фондамента 100, серое, PL2.DL500920R\100",,9 330,PL2.DL500920R\100,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/stoleshnitsa-iz-keramogranita-kerama-marazzi-logica-fondamenta-100-seroe-475314011/
"Столешница из керамогранита Kerama Marazzi LOGICA Фондамента 100, серое, PL1.DL500920R\100",,9 330,PL1.DL500920R\100,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/stoleshnitsa-iz-keramogranita-kerama-marazzi-logica-fondamenta-100-seroe/
"Столешница из керамогранита Kerama Marazzi Фондамента 80 для накладных раковин, серое, PL5.DL500920R\80",,9 100,PL5.DL500920R\80,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/stoleshnitsa-iz-keramogranita-kerama-marazzi-fondamenta-80-dlya-nakladnykh-rakovin-seroe/
"Столешница из керамогранита Kerama Marazzi Фондамента 80 см без отверстий, серый, PL4.DL500920R\80",,9 100,PL4.DL500920R\80,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/stoleshnitsa-iz-keramogranita-kerama-marazzi-fondamenta-80-sm-bez-otverstiy-seryy/
"Столешница из керамогранита Kerama Marazzi LOGICA Фондамента 80, серое, PL2.DL500920R\80",,9 100,PL2.DL500920R\80,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/stoleshnitsa-iz-keramogranita-kerama-marazzi-logica-fondamenta-80-seroe/
"Столешница из керамогранита Kerama Marazzi Фондамента 80 см для накладных раковин серый, PL1.DL500920R\80",,9 100,PL1.DL500920R\80,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/stoleshnitsa-iz-keramogranita-kerama-marazzi-fondamenta-80-sm-dlya-nakladnykh-rakovin-seryy/
"Столешница из керамогранита Kerama Marazzi Риальто 120 для накладных раковин, песочное, PL5.SG560420R\120",,9 670,PL5.SG560420R\120,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/stoleshnitsa-iz-keramogranita-kerama-marazzi-rialto-120-dlya-nakladnykh-rakovin-pesochnoe/
"Столешница из керамогранита Kerama Marazzi LOGICA Риальто 120, бежевое, PL2.SG560420R\120",,9 670,PL2.SG560420R\120,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/stoleshnitsa-iz-keramogranita-kerama-marazzi-logica-rialto-120-bezhevoe-1212676664/
"Столешница из керамогранита Kerama Marazzi LOGICA Риальто 120, бежевое, PL1.SG560420R\120",,9 670,PL1.SG560420R\120,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/stoleshnitsa-iz-keramogranita-kerama-marazzi-logica-rialto-120-bezhevoe/
"Столешница из керамогранита Kerama Marazzi Риальто 100 для накладных раковин песочное, PL5.SG560420R\100",,9 000,PL5.SG560420R\100,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/stoleshnitsa-iz-keramogranita-kerama-marazzi-rialto-100-dlya-nakladnykh-rakovin-pesochnoe/
"Столешница из керамогранита Kerama Marazzi LOGICA Риальто 100, бежевое, PL2.SG560420R\100",,9 000,PL2.SG560420R\100,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/stoleshnitsa-iz-keramogranita-kerama-marazzi-logica-rialto-100-bezhevoe-1286466866/
"Столешница из керамогранита Kerama Marazzi LOGICA Риальто 100, бежевое, PL1.SG560420R\100",,9 000,PL1.SG560420R\100,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/stoleshnitsa-iz-keramogranita-kerama-marazzi-logica-rialto-100-bezhevoe/
"Столешница из керамогранита Kerama Marazzi Риальто 80 для накладных раковин, песочное, PL5.SG560420R\80",,8 350,PL5.SG560420R\80,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/stoleshnitsa-iz-keramogranita-kerama-marazzi-rialto-80-dlya-nakladnykh-rakovin-pesochnoe/
"Столешница из керамогранита Kerama Marazzi LOGICA Риальто 80, бежевое, PL2.SG560420R\80",,8 350,PL2.SG560420R\80,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/stoleshnitsa-iz-keramogranita-kerama-marazzi-logica-rialto-80-bezhevoe-1803235637/
"Столешница из керамогранита Kerama Marazzi LOGICA Риальто 80, бежевое, PL1.SG560420R\80",,8 350,PL1.SG560420R\80,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/stoleshnitsa-iz-keramogranita-kerama-marazzi-logica-rialto-80-bezhevoe/
"Столешница из керамогранита Kerama Marazzi Монте Тиберио 120 для накладных раковин, серое, PL5.SG507120R\120",,8 530,PL5.SG507120R\120,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/stoleshnitsa-iz-keramogranita-kerama-marazzi-monte-tiberio-120-dlya-nakladnykh-rakovin-seroe/
"Столешница из керамогранита Kerama Marazzi LOGICA Монте Тиберио 120, серое, PL3.SG507120R\120",,8 530,PL3.SG507120R\120,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/stoleshnitsa-iz-keramogranita-kerama-marazzi-logica-monte-tiberio-120-seroe-1012565719/
"Столешница из керамогранита Kerama Marazzi LOGICA Монте Тиберио 120, серое, PL2.SG507120R\120",,8 530,PL2.SG507120R\120,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/stoleshnitsa-iz-keramogranita-kerama-marazzi-logica-monte-tiberio-120-seroe-665095302/
"Столешница из керамогранита Kerama Marazzi LOGICA Монте Тиберио 120, серое, PL1.SG507120R\120",,8 530,PL1.SG507120R\120,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/stoleshnitsa-iz-keramogranita-kerama-marazzi-logica-monte-tiberio-120-seroe/
"Столешница из керамогранита Kerama Marazzi Монте Тиберио 100 для накладных раковин серое, PL5.SG507120R\100",,8 190,PL5.SG507120R\100,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/stoleshnitsa-iz-keramogranita-kerama-marazzi-monte-tiberio-100-dlya-nakladnykh-rakovin-seroe/
"Столешница из керамогранита Kerama Marazzi LOGICA Монте Тиберио 100, серое, PL3.SG507120R\100",,8 190,PL3.SG507120R\100,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/stoleshnitsa-iz-keramogranita-kerama-marazzi-logica-monte-tiberio-100-seroe-1467685909/
"Столешница из керамогранита Kerama Marazzi LOGICA Монте Тиберио 100, серое, PL2.SG507120R\100",,8 190,PL2.SG507120R\100,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/stoleshnitsa-iz-keramogranita-kerama-marazzi-logica-monte-tiberio-100-seroe-360030574/
"Столешница из керамогранита Kerama Marazzi LOGICA Монте Тиберио 100, серое, PL1.SG507120R\100",,8 190,PL1.SG507120R\100,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/stoleshnitsa-iz-keramogranita-kerama-marazzi-logica-monte-tiberio-100-seroe/
"Столешница из керамогранита Kerama Marazzi Монте Тиберио 80 для накладных раковин серое, PL5.SG507120R\80",,7 850,PL5.SG507120R\80,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/stoleshnitsa-iz-keramogranita-kerama-marazzi-monte-tiberio-80-dlya-nakladnykh-rakovin-seroe/
"Столешница из керамогранита Kerama Marazzi LOGICA Монте Тиберио 80, серое, PL3.SG507120R\80",,7 850,PL3.SG507120R\80,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/stoleshnitsa-iz-keramogranita-kerama-marazzi-logica-monte-tiberio-80-seroe-267578209/
"Столешница из керамогранита Kerama Marazzi LOGICA Монте Тиберио 80, серое, PL2.SG507120R\80",,7 850,PL2.SG507120R\80,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/stoleshnitsa-iz-keramogranita-kerama-marazzi-logica-monte-tiberio-80-seroe-785437998/
"Столешница из керамогранита Kerama Marazzi LOGICA Монте Тиберио 80, серое, PL1.SG507120R\80",,7 850,PL1.SG507120R\80,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/stoleshnitsa-iz-keramogranita-kerama-marazzi-logica-monte-tiberio-80-seroe/
"Столешница из керамогранита Kerama Marazzi LOGICA Про Чементо 100x48, бежевый матовый, CN100.DD506920R",,16 040,CN100.DD506920R,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/stoleshnitsa-iz-keramogranita-kerama-marazzi-logica-pro-chemento-100x48-bezhevyy-matovyy/
"Столешница из керамогранита Kerama Marazzi LOGICA Про Чементо 80x48, бежевый матовый, CN80.DD506920R",,15 230,CN80.DD506920R,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/stoleshnitsa-iz-keramogranita-kerama-marazzi-logica-pro-chemento-80x48-bezhevyy-matovyy/
"Столешница из керамогранита Kerama Marazzi LOGICA Про Чементо 70x48, бежевый матовый, CN70.DD506920R",,14 960,CN70.DD506920R,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/stoleshnitsa-iz-keramogranita-kerama-marazzi-logica-pro-chemento-70x48-bezhevyy-matovyy/
"Столешница из керамогранита Kerama Marazzi LOGICA Про Чементо 60x48, бежевый матовый, CN60.DD506920R",,14 410,CN60.DD506920R,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/stoleshnitsa-iz-keramogranita-kerama-marazzi-logica-pro-chemento-60x48-bezhevyy-matovyy/
"Столешница из керамогранита Kerama Marazzi LOGICA Про Чементо 100x48, коричневый тёмный матовый, CN100.DD507020R",,16 230,CN100.DD507020R,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/stoleshnitsa-iz-keramogranita-kerama-marazzi-logica-pro-chemento-100x48-korichnevyy-tyemnyy-matovyy/
"Столешница из керамогранита Kerama Marazzi LOGICA Про Чементо 80x48, коричневый тёмный матовый, CN80.DD507020R",,15 420,CN80.DD507020R,Kerama Marazzi,в наличии,https://magbo.ru//catalog/detail/stoleshnitsa-iz-keramogranita-kerama-marazzi-logica-pro-chemento-80x48-korichnevyy-tyemnyy-matovyy/
